goos: linux
goarch: amd64
pkg: github.com/Overclock-Validator/narya-ed25519/ed25519
cpu: AMD Ryzen 7 9700X 8-Core Processor             
BenchmarkR51IFMAX8BatchEncodeCompletePipeline/path=x4-encode/n=64/msg=4096        	    4014	    298846 ns/op	         4.669 µs/sig	       0 B/op	       0 allocs/op
BenchmarkR51IFMAX8BatchEncodeCompletePipeline/path=x4-encode/n=64/msg=4096        	    4015	    298837 ns/op	         4.669 µs/sig	       0 B/op	       0 allocs/op
BenchmarkR51IFMAX8BatchEncodeCompletePipeline/path=x4-encode/n=64/msg=4096        	    4015	    298761 ns/op	         4.668 µs/sig	       0 B/op	       0 allocs/op
BenchmarkR51IFMAX8BatchEncodeCompletePipeline/path=x4-encode/n=64/msg=4096        	    4016	    298783 ns/op	         4.668 µs/sig	       0 B/op	       0 allocs/op
BenchmarkR51IFMAX8BatchEncodeCompletePipeline/path=x4-encode/n=64/msg=4096        	    4016	    298276 ns/op	         4.661 µs/sig	       0 B/op	       0 allocs/op
BenchmarkR51IFMAX8BatchEncodeCompletePipeline/path=x8-encode/n=64/msg=4096        	    4024	    297896 ns/op	         4.655 µs/sig	       0 B/op	       0 allocs/op
BenchmarkR51IFMAX8BatchEncodeCompletePipeline/path=x8-encode/n=64/msg=4096        	    4042	    296213 ns/op	         4.628 µs/sig	       0 B/op	       0 allocs/op
BenchmarkR51IFMAX8BatchEncodeCompletePipeline/path=x8-encode/n=64/msg=4096        	    4053	    296098 ns/op	         4.627 µs/sig	       0 B/op	       0 allocs/op
BenchmarkR51IFMAX8BatchEncodeCompletePipeline/path=x8-encode/n=64/msg=4096        	    4051	    296175 ns/op	         4.628 µs/sig	       0 B/op	       0 allocs/op
BenchmarkR51IFMAX8BatchEncodeCompletePipeline/path=x8-encode/n=64/msg=4096        	    4051	    296179 ns/op	         4.628 µs/sig	       0 B/op	       0 allocs/op
BenchmarkR51IFMAX8BatchEncodeCompletePipeline/path=x8-encode/n=64/msg=4096        	    4050	    296153 ns/op	         4.627 µs/sig	       0 B/op	       0 allocs/op
PASS
ok  	github.com/Overclock-Validator/narya-ed25519/ed25519	111.615s
