goos: linux
goarch: amd64
pkg: github.com/Overclock-Validator/narya-ed25519/ed25519
cpu: AMD Ryzen 7 9700X 8-Core Processor             
BenchmarkR51IFMAAsymmetricFixedBNielsX8Experiment/implementation=merged-B10/n=8/msg=4096                    	   64276	     37310 ns/op	         4.664 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAAsymmetricFixedBNielsX8Experiment/implementation=merged-B10/n=8/msg=4096                    	   64521	     37222 ns/op	         4.653 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAAsymmetricFixedBNielsX8Experiment/implementation=merged-B10/n=8/msg=4096                    	   64368	     37287 ns/op	         4.661 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAAsymmetricFixedBNielsX8Experiment/implementation=merged-B10/n=8/msg=4096                    	   64329	     37294 ns/op	         4.662 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAAsymmetricFixedBNielsX8Experiment/implementation=merged-B10/n=8/msg=4096                    	   64213	     37383 ns/op	         4.673 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAAsymmetricFixedBNielsX8Experiment/implementation=merged-B10/n=8/msg=4096                    	   64368	     37289 ns/op	         4.661 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAAsymmetricFixedBNielsX8Experiment/implementation=separate-radix256-comb/n=64/msg=4096       	    7958	    301232 ns/op	         4.707 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAAsymmetricFixedBNielsX8Experiment/implementation=separate-radix256-comb/n=64/msg=4096       	    7939	    302051 ns/op	         4.720 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAAsymmetricFixedBNielsX8Experiment/implementation=separate-radix256-comb/n=64/msg=4096       	    7945	    302162 ns/op	         4.721 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAAsymmetricFixedBNielsX8Experiment/implementation=separate-radix256-comb/n=64/msg=4096       	    7932	    302368 ns/op	         4.725 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAAsymmetricFixedBNielsX8Experiment/implementation=separate-radix256-comb/n=64/msg=4096       	    7934	    302156 ns/op	         4.721 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAAsymmetricFixedBNielsX8Experiment/implementation=separate-radix256-comb/n=64/msg=4096       	    7936	    302012 ns/op	         4.719 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAAsymmetricFixedBNielsX8Experiment/implementation=merged-B10/n=64/msg=4096                   	    8412	    284930 ns/op	         4.452 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAAsymmetricFixedBNielsX8Experiment/implementation=merged-B10/n=64/msg=4096                   	    8420	    285612 ns/op	         4.463 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAAsymmetricFixedBNielsX8Experiment/implementation=merged-B10/n=64/msg=4096                   	    8424	    284698 ns/op	         4.448 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAAsymmetricFixedBNielsX8Experiment/implementation=merged-B10/n=64/msg=4096                   	    8436	    284579 ns/op	         4.447 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAAsymmetricFixedBNielsX8Experiment/implementation=merged-B10/n=64/msg=4096                   	    8432	    284639 ns/op	         4.447 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAAsymmetricFixedBNielsX8Experiment/implementation=merged-B10/n=64/msg=4096                   	    8380	    284673 ns/op	         4.448 us/signature	       0 B/op	       0 allocs/op
PASS
