goos: linux
goarch: amd64
pkg: github.com/Overclock-Validator/narya-ed25519/ed25519
cpu: AMD Ryzen 7 PRO 8700GE w/ Radeon 780M Graphics 
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=1        	   50048	     17992 ns/op	  68.47 MB/s	         0 internal-fault-fallbacks	     55580 signatures/s	   1243136 table-bytes	        17.99 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=1        	   49992	     17991 ns/op	  68.48 MB/s	         0 internal-fault-fallbacks	     55582 signatures/s	   1243136 table-bytes	        17.99 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=1        	   50026	     17990 ns/op	  68.48 MB/s	         0 internal-fault-fallbacks	     55588 signatures/s	   1243136 table-bytes	        17.99 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=2        	   25130	     35814 ns/op	  68.80 MB/s	         0 internal-fault-fallbacks	     55844 signatures/s	   1243136 table-bytes	        17.91 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=2        	   25129	     35841 ns/op	  68.75 MB/s	         0 internal-fault-fallbacks	     55801 signatures/s	   1243136 table-bytes	        17.92 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=2        	   25120	     35819 ns/op	  68.79 MB/s	         0 internal-fault-fallbacks	     55837 signatures/s	   1243136 table-bytes	        17.91 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=2        	   25113	     35828 ns/op	  68.77 MB/s	         0 internal-fault-fallbacks	     55822 signatures/s	   1243136 table-bytes	        17.91 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=2        	   25116	     35833 ns/op	  68.76 MB/s	         0 internal-fault-fallbacks	     55814 signatures/s	   1243136 table-bytes	        17.92 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=2        	   25120	     35819 ns/op	  68.79 MB/s	         0 internal-fault-fallbacks	     55837 signatures/s	   1243136 table-bytes	        17.91 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=4        	   44486	     20245 ns/op	 243.42 MB/s	         0 internal-fault-fallbacks	    197579 signatures/s	   1243136 table-bytes	         5.061 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=4        	   44445	     20250 ns/op	 243.36 MB/s	         0 internal-fault-fallbacks	    197534 signatures/s	   1243136 table-bytes	         5.062 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=4        	   44432	     20240 ns/op	 243.48 MB/s	         0 internal-fault-fallbacks	    197628 signatures/s	   1243136 table-bytes	         5.060 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
