goos: linux
goarch: amd64
pkg: github.com/Overclock-Validator/narya-ed25519/ed25519
cpu: AMD Ryzen 7 9700X 8-Core Processor             
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=1        	   53565	     22416 ns/op	  54.96 MB/s	     44610 signatures/s	        22.42 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=1        	   53557	     22412 ns/op	  54.97 MB/s	     44620 signatures/s	        22.41 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=1        	   53505	     22419 ns/op	  54.95 MB/s	     44606 signatures/s	        22.42 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=1        	   53517	     22419 ns/op	  54.95 MB/s	     44605 signatures/s	        22.42 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=1        	   53515	     22417 ns/op	  54.96 MB/s	     44608 signatures/s	        22.42 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=1        	   53523	     22425 ns/op	  54.94 MB/s	     44593 signatures/s	        22.43 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=1        	   53556	     22410 ns/op	  54.98 MB/s	     44623 signatures/s	        22.41 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=1        	   53547	     22420 ns/op	  54.95 MB/s	     44602 signatures/s	        22.42 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=1        	   53504	     22426 ns/op	  54.94 MB/s	     44591 signatures/s	        22.43 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=2        	   26788	     44803 ns/op	  55.00 MB/s	     44640 signatures/s	        22.40 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=2        	   26776	     44802 ns/op	  55.00 MB/s	     44641 signatures/s	        22.40 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=2        	   26787	     44784 ns/op	  55.02 MB/s	     44659 signatures/s	        22.39 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=2        	   26799	     44790 ns/op	  55.01 MB/s	     44653 signatures/s	        22.40 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=2        	   26793	     44802 ns/op	  55.00 MB/s	     44641 signatures/s	        22.40 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=2        	   26781	     44788 ns/op	  55.01 MB/s	     44655 signatures/s	        22.39 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=2        	   26788	     44787 ns/op	  55.02 MB/s	     44656 signatures/s	        22.39 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=2        	   26787	     44793 ns/op	  55.01 MB/s	     44650 signatures/s	        22.40 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=2        	   26791	     44799 ns/op	  55.00 MB/s	     44644 signatures/s	        22.40 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=2        	   26785	     44793 ns/op	  55.01 MB/s	     44650 signatures/s	        22.40 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=4        	   29739	     40343 ns/op	 122.15 MB/s	     99150 signatures/s	        10.09 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=4        	   29737	     40343 ns/op	 122.15 MB/s	     99150 signatures/s	        10.09 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=4        	   29748	     40339 ns/op	 122.16 MB/s	     99159 signatures/s	        10.08 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=4        	   29739	     40344 ns/op	 122.15 MB/s	     99148 signatures/s	        10.09 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=4        	   29749	     40306 ns/op	 122.26 MB/s	     99240 signatures/s	        10.08 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=4        	   29652	     40328 ns/op	 122.20 MB/s	     99188 signatures/s	        10.08 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=4        	   29749	     40348 ns/op	 122.14 MB/s	     99137 signatures/s	        10.09 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=4        	   29738	     40342 ns/op	 122.16 MB/s	     99152 signatures/s	        10.09 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=4        	   29746	     40345 ns/op	 122.15 MB/s	     99146 signatures/s	        10.09 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=4        	   29728	     40257 ns/op	 122.41 MB/s	     99360 signatures/s	        10.06 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=8        	   26586	     45168 ns/op	 218.21 MB/s	    177115 signatures/s	         5.646 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=8        	   26569	     45158 ns/op	 218.25 MB/s	    177155 signatures/s	         5.645 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=8        	   26582	     45140 ns/op	 218.34 MB/s	    177226 signatures/s	         5.643 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=8        	   26565	     45167 ns/op	 218.21 MB/s	    177120 signatures/s	         5.646 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=8        	   26559	     45175 ns/op	 218.18 MB/s	    177091 signatures/s	         5.647 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=8        	   26580	     45161 ns/op	 218.24 MB/s	    177145 signatures/s	         5.645 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=8        	   26564	     45169 ns/op	 218.20 MB/s	    177112 signatures/s	         5.646 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=8        	   26569	     45165 ns/op	 218.22 MB/s	    177127 signatures/s	         5.646 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=8        	   26565	     45150 ns/op	 218.29 MB/s	    177187 signatures/s	         5.644 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=8        	   26578	     45159 ns/op	 218.25 MB/s	    177152 signatures/s	         5.645 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=64       	    3514	    341403 ns/op	 230.95 MB/s	    187462 signatures/s	         5.334 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=64       	    3510	    341203 ns/op	 231.09 MB/s	    187572 signatures/s	         5.331 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=64       	    3513	    341359 ns/op	 230.98 MB/s	    187486 signatures/s	         5.334 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=64       	    3516	    340999 ns/op	 231.23 MB/s	    187684 signatures/s	         5.328 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=64       	    3540	    339505 ns/op	 232.24 MB/s	    188510 signatures/s	         5.305 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=64       	    3537	    339464 ns/op	 232.27 MB/s	    188532 signatures/s	         5.304 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=64       	    3493	    339527 ns/op	 232.23 MB/s	    188498 signatures/s	         5.305 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=64       	    3536	    339418 ns/op	 232.30 MB/s	    188558 signatures/s	         5.303 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=64       	    3536	    339354 ns/op	 232.35 MB/s	    188594 signatures/s	         5.302 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=64       	    3529	    339518 ns/op	 232.23 MB/s	    188502 signatures/s	         5.305 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=4096/n=1        	   49492	     24240 ns/op	 168.98 MB/s	     41254 signatures/s	        24.24 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=4096/n=1        	   49473	     24262 ns/op	 168.83 MB/s	     41217 signatures/s	        24.26 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=4096/n=1        	   49460	     24261 ns/op	 168.83 MB/s	     41218 signatures/s	        24.26 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=4096/n=1        	   49479	     24268 ns/op	 168.78 MB/s	     41207 signatures/s	        24.27 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=4096/n=1        	   49437	     24273 ns/op	 168.74 MB/s	     41197 signatures/s	        24.27 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=4096/n=1        	   49497	     24253 ns/op	 168.88 MB/s	     41232 signatures/s	        24.25 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=4096/n=1        	   49479	     24258 ns/op	 168.85 MB/s	     41224 signatures/s	        24.26 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=4096/n=1        	   49447	     24248 ns/op	 168.92 MB/s	     41240 signatures/s	        24.25 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=4096/n=1        	   49460	     24259 ns/op	 168.85 MB/s	     41222 signatures/s	        24.26 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=4096/n=1        	   49497	     24259 ns/op	 168.85 MB/s	     41222 signatures/s	        24.26 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=4096/n=2        	   24657	     48665 ns/op	 168.33 MB/s	     41097 signatures/s	        24.33 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=4096/n=2        	   24663	     48683 ns/op	 168.27 MB/s	     41082 signatures/s	        24.34 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=4096/n=2        	   24662	     48667 ns/op	 168.33 MB/s	     41096 signatures/s	        24.33 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=4096/n=2        	   24652	     48668 ns/op	 168.32 MB/s	     41095 signatures/s	        24.33 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=4096/n=2        	   24662	     48660 ns/op	 168.35 MB/s	     41101 signatures/s	        24.33 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=4096/n=2        	   24666	     48665 ns/op	 168.34 MB/s	     41098 signatures/s	        24.33 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=4096/n=2        	   24664	     48644 ns/op	 168.41 MB/s	     41115 signatures/s	        24.32 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=4096/n=2        	   24664	     48651 ns/op	 168.38 MB/s	     41109 signatures/s	        24.33 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=4096/n=2        	   24668	     48644 ns/op	 168.41 MB/s	     41115 signatures/s	        24.32 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=4096/n=2        	   24666	     48645 ns/op	 168.40 MB/s	     41114 signatures/s	        24.32 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=4096/n=4        	   23332	     51429 ns/op	 318.58 MB/s	     77777 signatures/s	        12.86 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=4096/n=4        	   23330	     51426 ns/op	 318.59 MB/s	     77781 signatures/s	        12.86 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=4096/n=4        	   23326	     51434 ns/op	 318.54 MB/s	     77769 signatures/s	        12.86 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=4096/n=4        	   23332	     51434 ns/op	 318.55 MB/s	     77770 signatures/s	        12.86 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=4096/n=4        	   23329	     51436 ns/op	 318.53 MB/s	     77767 signatures/s	        12.86 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=4096/n=4        	   23331	     51434 ns/op	 318.54 MB/s	     77769 signatures/s	        12.86 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=4096/n=4        	   23329	     51417 ns/op	 318.65 MB/s	     77795 signatures/s	        12.85 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=4096/n=4        	   23330	     51424 ns/op	 318.61 MB/s	     77785 signatures/s	        12.86 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=4096/n=4        	   23329	     51433 ns/op	 318.55 MB/s	     77771 signatures/s	        12.86 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=4096/n=4        	   23325	     51435 ns/op	 318.54 MB/s	     77769 signatures/s	        12.86 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=4096/n=8        	   23467	     51186 ns/op	 640.18 MB/s	    156293 signatures/s	         6.398 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=4096/n=8        	   23361	     51376 ns/op	 637.81 MB/s	    155714 signatures/s	         6.422 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=4096/n=8        	   23374	     51334 ns/op	 638.33 MB/s	    155843 signatures/s	         6.417 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=4096/n=8        	   23448	     51215 ns/op	 639.82 MB/s	    156206 signatures/s	         6.402 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=4096/n=8        	   23426	     51221 ns/op	 639.73 MB/s	    156185 signatures/s	         6.403 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=4096/n=8        	   23445	     51206 ns/op	 639.92 MB/s	    156231 signatures/s	         6.401 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=4096/n=8        	   23442	     51188 ns/op	 640.15 MB/s	    156286 signatures/s	         6.399 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=4096/n=8        	   23448	     51203 ns/op	 639.96 MB/s	    156241 signatures/s	         6.400 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=4096/n=8        	   23437	     51178 ns/op	 640.28 MB/s	    156318 signatures/s	         6.397 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=4096/n=8        	   23450	     51147 ns/op	 640.67 MB/s	    156413 signatures/s	         6.393 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=4096/n=64       	    3086	    388369 ns/op	 674.99 MB/s	    164792 signatures/s	         6.068 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=4096/n=64       	    3078	    389976 ns/op	 672.21 MB/s	    164113 signatures/s	         6.093 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=4096/n=64       	    3081	    389225 ns/op	 673.50 MB/s	    164430 signatures/s	         6.082 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=4096/n=64       	    3082	    389013 ns/op	 673.87 MB/s	    164519 signatures/s	         6.078 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=4096/n=64       	    3084	    389208 ns/op	 673.53 MB/s	    164437 signatures/s	         6.081 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=4096/n=64       	    3074	    390001 ns/op	 672.16 MB/s	    164102 signatures/s	         6.094 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=4096/n=64       	    3082	    389078 ns/op	 673.76 MB/s	    164491 signatures/s	         6.079 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=4096/n=64       	    3087	    388591 ns/op	 674.60 MB/s	    164698 signatures/s	         6.072 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=4096/n=64       	    3085	    388871 ns/op	 674.12 MB/s	    164579 signatures/s	         6.076 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=4096/n=64       	    3067	    390977 ns/op	 670.49 MB/s	    163693 signatures/s	         6.109 us/signature	       0 B/op	       0 allocs/op
PASS
