goos: linux
goarch: amd64
pkg: github.com/Overclock-Validator/narya-ed25519/ed25519
cpu: AMD Ryzen 7 9700X 8-Core Processor             
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=8         	   41301	     29052 ns/op	  55.07 MB/s	    275372 signatures/s	   1243136 table-bytes	         3.631 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=8         	   41300	     29055 ns/op	  55.07 MB/s	    275339 signatures/s	   1243136 table-bytes	         3.632 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=64        	    5644	    212433 ns/op	  60.25 MB/s	    301271 signatures/s	   1243136 table-bytes	         3.319 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=64        	    5647	    212394 ns/op	  60.27 MB/s	    301327 signatures/s	   1243136 table-bytes	         3.319 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=64        	    5647	    212377 ns/op	  60.27 MB/s	    301351 signatures/s	   1243136 table-bytes	         3.318 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=64        	    5649	    212403 ns/op	  60.26 MB/s	    301315 signatures/s	   1243136 table-bytes	         3.319 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=64        	    5648	    212442 ns/op	  60.25 MB/s	    301258 signatures/s	   1243136 table-bytes	         3.319 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=64        	    5643	    212448 ns/op	  60.25 MB/s	    301250 signatures/s	   1243136 table-bytes	         3.320 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=64        	    5647	    212445 ns/op	  60.25 MB/s	    301254 signatures/s	   1243136 table-bytes	         3.319 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=64        	    5643	    212494 ns/op	  60.24 MB/s	    301185 signatures/s	   1243136 table-bytes	         3.320 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=64        	    5647	    212511 ns/op	  60.23 MB/s	    301161 signatures/s	   1243136 table-bytes	         3.320 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=64        	    5648	    212344 ns/op	  60.28 MB/s	    301398 signatures/s	   1243136 table-bytes	         3.318 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=1        	   54067	     22203 ns/op	  55.49 MB/s	     45039 signatures/s	   1243136 table-bytes	        22.20 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
