goos: linux
goarch: amd64
pkg: github.com/Overclock-Validator/narya-ed25519/ed25519
cpu: AMD Ryzen 7 9700X 8-Core Processor             
BenchmarkR51IFMAPartialX8TailCompletePipeline/path=x4-wide-hash/n=2/msg=1232        	   70722	     33953 ns/op	        16.98 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAPartialX8TailCompletePipeline/path=x4-wide-hash/n=2/msg=1232        	   70675	     33995 ns/op	        17.00 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAPartialX8TailCompletePipeline/path=x4-wide-hash/n=2/msg=1232        	   70687	     33954 ns/op	        16.98 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAPartialX8TailCompletePipeline/path=x4-wide-hash/n=2/msg=1232        	   70656	     33968 ns/op	        16.98 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAPartialX8TailCompletePipeline/path=x4-wide-hash/n=2/msg=1232        	   70622	     33974 ns/op	        16.99 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAPartialX8TailCompletePipeline/path=x4-wide-hash/n=2/msg=1232        	   70639	     33970 ns/op	        16.98 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAPartialX8TailCompletePipeline/path=x4-wide-hash/n=2/msg=1232        	   70681	     33961 ns/op	        16.98 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAPartialX8TailCompletePipeline/path=x4-wide-hash/n=2/msg=1232        	   70623	     33974 ns/op	        16.99 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAPartialX8TailCompletePipeline/path=x4-wide-hash/n=2/msg=1232        	   70645	     33962 ns/op	        16.98 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAPartialX8TailCompletePipeline/path=x4/n=4/msg=1232                  	   68650	     34964 ns/op	         8.741 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAPartialX8TailCompletePipeline/path=x4/n=4/msg=1232                  	   68624	     34989 ns/op	         8.747 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAPartialX8TailCompletePipeline/path=x4/n=4/msg=1232                  	   68612	     34975 ns/op	         8.744 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAPartialX8TailCompletePipeline/path=x4/n=4/msg=1232                  	   68572	     34999 ns/op	         8.750 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAPartialX8TailCompletePipeline/path=x4/n=4/msg=1232                  	   68562	     35010 ns/op	         8.753 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAPartialX8TailCompletePipeline/path=x4/n=4/msg=1232                  	   68553	     35006 ns/op	         8.751 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAPartialX8TailCompletePipeline/path=x4/n=4/msg=1232                  	   68564	     35010 ns/op	         8.752 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAPartialX8TailCompletePipeline/path=x4/n=4/msg=1232                  	   68575	     35007 ns/op	         8.752 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAPartialX8TailCompletePipeline/path=x4/n=4/msg=1232                  	   68629	     34981 ns/op	         8.745 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAPartialX8TailCompletePipeline/path=x4/n=4/msg=1232                  	   68608	     34966 ns/op	         8.741 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAPartialX8TailCompletePipeline/path=x4-wide-hash/n=4/msg=1232        	   74557	     32195 ns/op	         8.049 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAPartialX8TailCompletePipeline/path=x4-wide-hash/n=4/msg=1232        	   74560	     32205 ns/op	         8.051 us/signature	       0 B/op	       0 allocs/op
