goos: linux
goarch: amd64
pkg: github.com/Overclock-Validator/narya/ed25519
cpu: AMD Ryzen 7 PRO 8700GE w/ Radeon 780M Graphics
BenchmarkR51PublicWrapperGate/msg=176/n=1/path=private-core        	  132313	     27189 ns/op	        27.19 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51PublicWrapperGate/msg=176/n=1/path=private-core        	  132308	     27202 ns/op	        27.20 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51PublicWrapperGate/msg=176/n=1/path=private-core        	  132520	     27183 ns/op	        27.18 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51PublicWrapperGate/msg=176/n=1/path=private-core        	  132388	     27188 ns/op	        27.19 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51PublicWrapperGate/msg=176/n=1/path=private-core        	  132475	     27202 ns/op	        27.20 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51PublicWrapperGate/msg=176/n=1/path=private-core        	  131967	     27220 ns/op	        27.22 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51PublicWrapperGate/msg=176/n=1/path=private-core        	  132324	     27196 ns/op	        27.20 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51PublicWrapperGate/msg=176/n=1/path=private-core        	  132274	     27219 ns/op	        27.22 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51PublicWrapperGate/msg=176/n=1/path=private-core        	  132255	     27207 ns/op	        27.21 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51PublicWrapperGate/msg=176/n=1/path=private-core        	  132352	     27206 ns/op	        27.21 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51PublicWrapperGate/msg=176/n=1/path=public-wrapper      	  137799	     26154 ns/op	        26.15 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51PublicWrapperGate/msg=176/n=1/path=public-wrapper      	  137557	     26136 ns/op	        26.14 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51PublicWrapperGate/msg=176/n=1/path=public-wrapper      	  137708	     26161 ns/op	        26.16 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51PublicWrapperGate/msg=176/n=1/path=public-wrapper      	  137643	     26159 ns/op	        26.16 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51PublicWrapperGate/msg=176/n=1/path=public-wrapper      	  137590	     26145 ns/op	        26.15 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51PublicWrapperGate/msg=176/n=1/path=public-wrapper      	  137820	     26143 ns/op	        26.14 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51PublicWrapperGate/msg=176/n=1/path=public-wrapper      	  137616	     26153 ns/op	        26.15 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51PublicWrapperGate/msg=176/n=1/path=public-wrapper      	  137647	     26153 ns/op	        26.15 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51PublicWrapperGate/msg=176/n=1/path=public-wrapper      	  137402	     26137 ns/op	        26.14 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51PublicWrapperGate/msg=176/n=1/path=public-wrapper      	  137786	     26142 ns/op	        26.14 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51PublicWrapperGate/msg=176/n=4/path=private-core        	   57412	     62789 ns/op	        15.70 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51PublicWrapperGate/msg=176/n=4/path=private-core        	   57349	     62786 ns/op	        15.70 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51PublicWrapperGate/msg=176/n=4/path=private-core        	   57336	     62789 ns/op	        15.70 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51PublicWrapperGate/msg=176/n=4/path=private-core        	   57336	     62806 ns/op	        15.70 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51PublicWrapperGate/msg=176/n=4/path=private-core        	   57304	     62807 ns/op	        15.70 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51PublicWrapperGate/msg=176/n=4/path=private-core        	   57307	     62797 ns/op	        15.70 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51PublicWrapperGate/msg=176/n=4/path=private-core        	   57332	     62785 ns/op	        15.70 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51PublicWrapperGate/msg=176/n=4/path=private-core        	   57318	     62792 ns/op	        15.70 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51PublicWrapperGate/msg=176/n=4/path=private-core        	   57334	     62792 ns/op	        15.70 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51PublicWrapperGate/msg=176/n=4/path=private-core        	   57316	     62817 ns/op	        15.70 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51PublicWrapperGate/msg=176/n=4/path=public-wrapper      	   57310	     62834 ns/op	        15.71 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51PublicWrapperGate/msg=176/n=4/path=public-wrapper      	   57332	     62800 ns/op	        15.70 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51PublicWrapperGate/msg=176/n=4/path=public-wrapper      	   57328	     62789 ns/op	        15.70 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51PublicWrapperGate/msg=176/n=4/path=public-wrapper      	   57306	     62814 ns/op	        15.70 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51PublicWrapperGate/msg=176/n=4/path=public-wrapper      	   57340	     62800 ns/op	        15.70 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51PublicWrapperGate/msg=176/n=4/path=public-wrapper      	   57308	     62808 ns/op	        15.70 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51PublicWrapperGate/msg=176/n=4/path=public-wrapper      	   57310	     62852 ns/op	        15.71 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51PublicWrapperGate/msg=176/n=4/path=public-wrapper      	   57308	     62803 ns/op	        15.70 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51PublicWrapperGate/msg=176/n=4/path=public-wrapper      	   57325	     62784 ns/op	        15.70 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51PublicWrapperGate/msg=176/n=4/path=public-wrapper      	   57319	     62802 ns/op	        15.70 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51PublicWrapperGate/msg=176/n=8/path=private-core        	   29528	    121891 ns/op	        15.24 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51PublicWrapperGate/msg=176/n=8/path=private-core        	   29530	    121892 ns/op	        15.24 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51PublicWrapperGate/msg=176/n=8/path=private-core        	   29536	    121899 ns/op	        15.24 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51PublicWrapperGate/msg=176/n=8/path=private-core        	   29529	    121920 ns/op	        15.24 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51PublicWrapperGate/msg=176/n=8/path=private-core        	   29533	    121905 ns/op	        15.24 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51PublicWrapperGate/msg=176/n=8/path=private-core        	   29530	    121903 ns/op	        15.24 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51PublicWrapperGate/msg=176/n=8/path=private-core        	   29528	    121931 ns/op	        15.24 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51PublicWrapperGate/msg=176/n=8/path=private-core        	   29514	    121913 ns/op	        15.24 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51PublicWrapperGate/msg=176/n=8/path=private-core        	   29522	    121917 ns/op	        15.24 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51PublicWrapperGate/msg=176/n=8/path=private-core        	   29536	    121913 ns/op	        15.24 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51PublicWrapperGate/msg=176/n=8/path=public-wrapper      	   29508	    121918 ns/op	        15.24 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51PublicWrapperGate/msg=176/n=8/path=public-wrapper      	   29529	    121854 ns/op	        15.23 us/signature	       0 B/op	       0 allocs/op
