goos: linux
goarch: amd64
pkg: github.com/Overclock-Validator/narya/ed25519
cpu: AMD Ryzen 7 PRO 8700GE w/ Radeon 780M Graphics
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-expanded-loop/n=12/msg=200        	    9350	    256495 ns/op	     46784 sig/s	        21.37 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-expanded-loop/n=12/msg=200        	    9354	    256509 ns/op	     46782 sig/s	        21.38 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-expanded-loop/n=16/msg=200        	    7017	    341784 ns/op	     46813 sig/s	        21.36 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-expanded-loop/n=16/msg=200        	    7016	    341797 ns/op	     46811 sig/s	        21.36 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-expanded-loop/n=16/msg=200        	    7026	    341860 ns/op	     46803 sig/s	        21.37 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-expanded-loop/n=16/msg=200        	    7018	    341844 ns/op	     46805 sig/s	        21.37 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-expanded-loop/n=16/msg=200        	    7014	    341743 ns/op	     46819 sig/s	        21.36 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-expanded-loop/n=16/msg=200        	    7017	    341757 ns/op	     46817 sig/s	        21.36 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-expanded-loop/n=17/msg=200        	    6608	    362740 ns/op	     46866 sig/s	        21.34 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-expanded-loop/n=17/msg=200        	    6615	    362760 ns/op	     46863 sig/s	        21.34 µs/sig	       0 B/op	       0 allocs/op
