goos: linux
goarch: amd64
pkg: github.com/Overclock-Validator/narya/ed25519
cpu: AMD Ryzen 7 PRO 8700GE w/ Radeon 780M Graphics
BenchmarkEd25519CrossLibrary/mode=independent/impl=narya-r51-dispatch/n=16/msg=200        	    9902	    242280 ns/op	     66039 sig/s	        15.14 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=narya-r51-dispatch/n=16/msg=200        	    9886	    242279 ns/op	     66040 sig/s	        15.14 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=narya-r51-dispatch/n=16/msg=200        	    9898	    242232 ns/op	     66052 sig/s	        15.14 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=narya-r51-dispatch/n=17/msg=200        	    8900	    269102 ns/op	     63173 sig/s	        15.83 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=narya-r51-dispatch/n=17/msg=200        	    8907	    268933 ns/op	     63213 sig/s	        15.82 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=narya-r51-dispatch/n=17/msg=200        	    8919	    268950 ns/op	     63209 sig/s	        15.82 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=narya-r51-dispatch/n=17/msg=200        	    8918	    268921 ns/op	     63216 sig/s	        15.82 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=narya-r51-dispatch/n=17/msg=200        	    8920	    269009 ns/op	     63195 sig/s	        15.82 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=narya-r51-dispatch/n=17/msg=200        	    8913	    268909 ns/op	     63218 sig/s	        15.82 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=narya-r51-dispatch/n=32/msg=200        	    5010	    480181 ns/op	     66642 sig/s	        15.01 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=narya-r51-dispatch/n=32/msg=200        	    4990	    480646 ns/op	     66577 sig/s	        15.02 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=narya-r51-dispatch/n=32/msg=200        	    4993	    480847 ns/op	     66549 sig/s	        15.03 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=narya-r51-dispatch/n=32/msg=200        	    4994	    480590 ns/op	     66585 sig/s	        15.02 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=narya-r51-dispatch/n=32/msg=200        	    4992	    480581 ns/op	     66586 sig/s	        15.02 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=narya-r51-dispatch/n=32/msg=200        	    4995	    480485 ns/op	     66599 sig/s	        15.02 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=narya-r51-dispatch/n=64/msg=200        	    2496	    960557 ns/op	     66628 sig/s	        15.01 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=narya-r51-dispatch/n=64/msg=200        	    2496	    960422 ns/op	     66637 sig/s	        15.01 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=narya-r51-dispatch/n=64/msg=200        	    2496	    960506 ns/op	     66632 sig/s	        15.01 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=narya-r51-dispatch/n=64/msg=200        	    2497	    960541 ns/op	     66629 sig/s	        15.01 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=narya-r51-dispatch/n=64/msg=200        	    2497	    960561 ns/op	     66628 sig/s	        15.01 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=narya-r51-dispatch/n=64/msg=200        	    2496	    960383 ns/op	     66640 sig/s	        15.01 µs/sig	       0 B/op	       0 allocs/op
PASS
ok  	github.com/Overclock-Validator/narya/ed25519	219.638s
