goos: linux
goarch: amd64
pkg: github.com/Overclock-Validator/narya-ed25519/ed25519
cpu: AMD Ryzen 7 9700X 8-Core Processor             
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=4        	   71725	     16724 ns/op	 294.66 MB/s	         0 internal-fault-fallbacks	    239173 signatures/s	   1243136 table-bytes	         4.181 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=4        	   71581	     16758 ns/op	 294.07 MB/s	         0 internal-fault-fallbacks	    238692 signatures/s	   1243136 table-bytes	         4.189 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=4        	   71638	     16750 ns/op	 294.20 MB/s	         0 internal-fault-fallbacks	    238800 signatures/s	   1243136 table-bytes	         4.188 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=8        	   38064	     31531 ns/op	 312.59 MB/s	         0 internal-fault-fallbacks	    253722 signatures/s	   1243136 table-bytes	         3.941 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=8        	   38052	     31525 ns/op	 312.64 MB/s	         0 internal-fault-fallbacks	    253769 signatures/s	   1243136 table-bytes	         3.941 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=8        	   38071	     31520 ns/op	 312.69 MB/s	         0 internal-fault-fallbacks	    253811 signatures/s	   1243136 table-bytes	         3.940 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=8        	   38062	     31515 ns/op	 312.74 MB/s	         0 internal-fault-fallbacks	    253850 signatures/s	   1243136 table-bytes	         3.939 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=8        	   38065	     31522 ns/op	 312.67 MB/s	         0 internal-fault-fallbacks	    253794 signatures/s	   1243136 table-bytes	         3.940 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=8        	   38053	     31527 ns/op	 312.62 MB/s	         0 internal-fault-fallbacks	    253748 signatures/s	   1243136 table-bytes	         3.941 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=8        	   37861	     31528 ns/op	 312.61 MB/s	         0 internal-fault-fallbacks	    253739 signatures/s	   1243136 table-bytes	         3.941 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=8        	   38101	     31486 ns/op	 313.03 MB/s	         0 internal-fault-fallbacks	    254084 signatures/s	   1243136 table-bytes	         3.936 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=8        	   38106	     31479 ns/op	 313.09 MB/s	         0 internal-fault-fallbacks	    254134 signatures/s	   1243136 table-bytes	         3.935 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=8        	   38112	     31470 ns/op	 313.19 MB/s	         0 internal-fault-fallbacks	    254209 signatures/s	   1243136 table-bytes	         3.934 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=64       	    4964	    241637 ns/op	 326.31 MB/s	         0 internal-fault-fallbacks	    264861 signatures/s	   1243136 table-bytes	         3.776 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=64       	    4960	    241680 ns/op	 326.25 MB/s	         0 internal-fault-fallbacks	    264812 signatures/s	   1243136 table-bytes	         3.776 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=64       	    4964	    241664 ns/op	 326.27 MB/s	         0 internal-fault-fallbacks	    264831 signatures/s	   1243136 table-bytes	         3.776 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=64       	    4963	    241713 ns/op	 326.20 MB/s	         0 internal-fault-fallbacks	    264777 signatures/s	   1243136 table-bytes	         3.777 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=64       	    4962	    241677 ns/op	 326.25 MB/s	         0 internal-fault-fallbacks	    264816 signatures/s	   1243136 table-bytes	         3.776 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=64       	    4963	    241675 ns/op	 326.26 MB/s	         0 internal-fault-fallbacks	    264819 signatures/s	   1243136 table-bytes	         3.776 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=64       	    4964	    241666 ns/op	 326.27 MB/s	         0 internal-fault-fallbacks	    264829 signatures/s	   1243136 table-bytes	         3.776 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=64       	    4962	    241693 ns/op	 326.23 MB/s	         0 internal-fault-fallbacks	    264798 signatures/s	   1243136 table-bytes	         3.776 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=64       	    4959	    241694 ns/op	 326.23 MB/s	         0 internal-fault-fallbacks	    264798 signatures/s	   1243136 table-bytes	         3.776 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=64       	    4960	    241679 ns/op	 326.25 MB/s	         0 internal-fault-fallbacks	    264815 signatures/s	   1243136 table-bytes	         3.776 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=4096/n=1        	   70460	     17025 ns/op	 240.59 MB/s	         0 internal-fault-fallbacks	     58738 signatures/s	   1243136 table-bytes	        17.02 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=4096/n=1        	   70472	     17026 ns/op	 240.58 MB/s	         0 internal-fault-fallbacks	     58735 signatures/s	   1243136 table-bytes	        17.03 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=4096/n=1        	   70497	     17025 ns/op	 240.59 MB/s	         0 internal-fault-fallbacks	     58738 signatures/s	   1243136 table-bytes	        17.02 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=4096/n=1        	   70458	     17025 ns/op	 240.58 MB/s	         0 internal-fault-fallbacks	     58736 signatures/s	   1243136 table-bytes	        17.03 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
