goos: linux
goarch: amd64
pkg: github.com/Overclock-Validator/narya-ed25519/internal/heea8l
cpu: AMD Ryzen 7 9700X 8-Core Processor             
BenchmarkSelectShiftSubtract/pathological-fallback-W136         	  435501	      8266 ns/op	         0 candidate_bits	       0 B/op	       0 allocs/op
BenchmarkSelectShiftSubtract/pathological-fallback-W136         	  435639	      8272 ns/op	         0 candidate_bits	       0 B/op	       0 allocs/op
BenchmarkSelectShiftSubtract/pathological-fallback-W136         	  435166	      8268 ns/op	         0 candidate_bits	       0 B/op	       0 allocs/op
BenchmarkSelectShiftSubtract/pathological-fallback-W136         	  435688	      8275 ns/op	         0 candidate_bits	       0 B/op	       0 allocs/op
BenchmarkSelectShiftSubtract/pathological-fallback-W136         	  435152	      8268 ns/op	         0 candidate_bits	       0 B/op	       0 allocs/op
BenchmarkSelectShiftSubtract/pathological-fallback-W136         	  434772	      8267 ns/op	         0 candidate_bits	       0 B/op	       0 allocs/op
BenchmarkSelectShiftSubtract/pathological-fallback-W136         	  435871	      8266 ns/op	         0 candidate_bits	       0 B/op	       0 allocs/op
BenchmarkSelectShiftSubtract/pathological-fallback-W136         	  435681	      8269 ns/op	         0 candidate_bits	       0 B/op	       0 allocs/op
PASS
ok  	github.com/Overclock-Validator/narya-ed25519/internal/heea8l	331.104s
